135709,40029
63190,37051
40090,91128
117076,24790
85888,100888
141527,43576
38386,40505
110696,94235
122403,122282
65420,135146
123495,65967
74987,9875
52354,113222
30593,100072
32153,125273
13367,141467
13971,81987
80671,102613
101651,109455
86226,141955
73746,91793
51228,73503
16759,39151
68798,138663
48047,73536
41873,77574
143671,3232
17719,54969
14969,46832
53418,96218
2240,63825
40154,38261
23117,64609
71803,22449
132233,16185
40155,72914
66707,24747
129196,113571
61521,90050
122720,113725
78344,72415
49612,104403
108110,137692
82800,45532
108779,141461
25731,37023
55205,19783
133229,30518
119601,88233
54585,80447
101643,7273
115386,34004
137568,10141
68631,111614
4727,39075
67849,17851
24720,40071
49282,138988
93559,24899
87630,118737
143768,34193
90654,99445
18075,134454
121000,133580
115663,40091
83068,124521
110054,105467
107370,130096
129862,56834
36525,130289
90663,101058
125087,89556
43190,52878
109009,82764
8031,71706
125462,137195
108569,62715
66464,66323
125553,69226
142820,143202
137858,120471
69136,55651
17784,90691
27420,57264
60428,69788
6001,31141
5089,79400
77039,144371
72557,109673
949,29726
148395,124561
77954,65533
24515,141703
77928,87468
124607,114308
145641,35003
50672,146860
111244,103459
612,7158
131903,45132
139744,86196
121808,134143
84581,148889
118653,64497
75123,25560
138553,143887
114624,23320
137068,121015
91568,94476
11229,33690
12102,86983
47817,78863
90607,149825
34018,32587
3180,132580
8413,48834
70131,114795
129783,50501
135022,31618
110633,42576
31381,106867
119720,36762
115408,76692
90361,13854
21355,2436
60320,56604
121052,79747
143190,38226
3669,112273
10003,66267
74121,40615
54743,137096
144944,55124
89932,129875
42132,84945
93270,74316
1741,123646
79171,103432
31780,88214
55411,22466
42868,126474
25086,36020
110009,63615
37869,78558
136743,135416
61596,127137
89984,98873
98293,77349
73730,5887
118823,109899
131289,20916
13563,58748
89410,119688
12904,54849
66852,148536
38917,51349
72966,89394
4645,131567
118336,99036
53016,101138
92050,51485
16016,69144
103603,1329
24031,141200
72653,32740
2781,90326
84550,66053
107983,138043
52249,96456
64803,148326
136485,38776
113469,76423
84440,78142
145504,17115
81011,48357
69258,110627
63314,16447
60988,85651
63969,133311
135321,28418
135654,3911
110443,13833
99158,93217
45650,90163
131457,29231
149284,77068
54689,116931
110192,125754
96285,3010
136846,113825
62568,142665
112264,97919
122125,28886
101658,111186
78744,38225
28311,86120
119253,6868
27290,18940
88309,49678
118187,45506
114578,3721
38896,94751
47527,41250
20644,80800
24201,20990
101635,15619
59466,115409
98318,66181
22641,96448
56523,64544
55367,38718
17853,78631
31638,44645
19030,15342
48836,126447
122325,26483
35039,48444
80218,21770
50966,132107
149508,114541
139301,100059
114320,118642
44147,123321
136969,38002
38982,53689
110851,76079
21060,87253
98020,38318
66023,125031
112139,90879
31266,130492
118974,119110
1001,91535
19669,2999
20910,78572
149330,110101
19589,4704
128670,9439
4603,25907
37281,140010
52138,92438
74359,22797
132440,43679
17586,12561
48285,57622
144768,73978
116355,78005
119178,25804
114979,127731
3640,82297
115021,54797
57857,17627
94621,123804
28794,54298
73269,21534
57233,146417
143838,89011
36936,14492
43594,52004
81247,37035
40849,138018
22378,65353
135178,121345
29296,89509
21906,49361
21007,75988
65288,134439
45984,25235
75242,10756
139313,25287
93874,12990
96711,95717
25014,38758
132368,36345
115693,67641
8584,144594
19238,144031
27748,86872
7682,133081
102857,19816
143051,22721
108326,19825
98382,34854
41635,128629
57780,138341
81720,118319
8431,73782
33096,85374
82187,130828
10709,126945
62340,147458
45805,32478
109150,58096
50396,95814
32386,79354
22447,92355
73005,103524
54,114800
50164,64837
127426,90032
7130,137889
65181,93096
77836,117786
69363,18369
137559,12041
6155,132679
33831,57423
44632,12776
144660,5978
106335,63620
44444,87874
53449,47826
62364,25230
118734,143999
23979,115420
22727,64642
81811,54999
22275,49228
87571,19733
27309,80861
127931,142105
93134,147611
53798,63109
47644,128019
120680,18514
74667,22849
132229,114802
102818,61819
3775,57712
77694,141443
27333,11636
4591,127546
83374,115390
124956,134881
61445,138563
35716,88385
111682,138825
43976,108460
138584,142015
122218,35542
87832,1157
130880,144437
32164,135098
11071,86892
50452,39905
129419,97106
58341,110405
138224,11697
43357,31454
44811,82307
100402,68069
133910,32263
144707,89730
34585,52807
690,130178
47174,35186
117948,17345
137277,16481
14981,115563
132094,51354
47573,61410
36276,58975
58105,87657
84569,103474
36519,132745
4172,67541
121022,22990
54412,58151
25430,149933
103446,135586
80052,96883
54913,134931
57396,51126
128624,144038
68349,131805
10558,110037
83385,117552
70119,55235
72495,125451
18413,128220
26692,51378
144927,45716
60302,145648
53511,33218
149419,146060
8481,51605
114659,42643
85271,104401
103317,26014
143988,141299
146438,31842
44600,38660
116970,17971
58058,42389
93184,122531
98960,58146
31016,21883
66858,55502
136593,38259
29922,77543
62984,36231
76640,53494
9063,63977
135106,75064
58142,62882
108272,147096
115516,131885
134480,126676
3238,98618
147246,142106
78160,37396
127436,148073
72618,127362
97237,9852
100024,104671
135079,85653
146138,87675
104044,26540
116723,147112
44057,21375
108078,90979
69914,47301
43129,115423
67977,46372
108902,27578
144957,96882
91200,86756
110345,104252
7861,114592
14952,74050
12030,32367
140379,40002
142610,49729
108443,121761
29999,36405
86115,52048
54106,84573
36917,139280
8965,86066
52772,17208
122120,8493
79187,87624
144167,80363
122657,76978
58226,118963
78185,78422
16864,5065
80887,109124
118827,15806
2741,64918
146246,111911
88630,100185
109790,55456
117751,145577
20626,81205
145890,59952
110288,28878
125681,33230
111738,21755
32355,39286
87760,102910
102119,8251
76720,184
48667,103201
67275,86225
109501,16083
16851,65266
75249,91842
18582,17648
25273,70013
148636,45992
38685,64352
44142,11628
77771,76741
36219,35812
